account_age_bucket,analytic_vertical,is_alpha_seller,order_payment_type,order_sales_channel,refund_mode,ret_amnt_bucket,return_action,return_amount,return_from_address_pincode,return_from_address_state,return_id,return_id_14_21days,return_id_7_14days,return_id_7days,return_id_last_day,return_reason,return_request_channel,seller_id,ratio_7days,ratio_7_14days,ratio_14_21days,ratio_21_28days,max_ratio,score
,,,,,,,,139605.0,,,0.0,0.0,0.0,49.0,134,MFG_DEFECT_POOR_FINISH,,,2.68,134.0,134.0,134.0,134.0,609.7
,,,,,,,,115229.0,,,0.0,0.0,0.0,41.0,125,MFG_DEFECT_POOR_FINISH,SELF_SERVE,,2.9761904761904763,125.0,125.0,125.0,125.0,569.9404761904761
,,0.0,,,,,,114402.0,,,0.0,0.0,0.0,41.0,117,MFG_DEFECT_POOR_FINISH,,,2.7857142857142856,117.0,117.0,117.0,117.0,533.4642857142858
,,0.0,,,,,,91595.0,,,0.0,0.0,0.0,36.0,109,MFG_DEFECT_POOR_FINISH,SELF_SERVE,,2.945945945945946,109.0,109.0,109.0,109.0,497.8648648648649
,,,,,,,,109920.0,,,0.0,0.0,0.0,43.0,104,DAMAGED_BROKEN_PRODUCT,,,2.3636363636363638,104.0,104.0,104.0,104.0,473.9090909090909
,,0.0,,,,,,92492.0,,,0.0,0.0,0.0,35.0,96,DAMAGED_BROKEN_PRODUCT,,,2.6666666666666665,96.0,96.0,96.0,96.0,438.66666666666663
,,,,AndroidApp,,,,102468.0,,,0.0,0.0,0.0,40.0,96,MFG_DEFECT_POOR_FINISH,,,2.341463414634146,96.0,96.0,96.0,96.0,437.8536585365854
,,,,,,,,92345.0,,,0.0,0.0,0.0,36.0,91,DAMAGED_BROKEN_PRODUCT,SELF_SERVE,,2.4594594594594597,91.0,91.0,91.0,91.0,415.64864864864865
,,,,AndroidApp,,,,80848.0,,,0.0,0.0,0.0,34.0,89,MFG_DEFECT_POOR_FINISH,SELF_SERVE,,2.5428571428571427,89.0,89.0,89.0,89.0,406.8571428571429
,,,,,,,wait_refund,70009.0,,,0.0,0.0,0.0,27.0,88,MFG_DEFECT_POOR_FINISH,,,3.142857142857143,88.0,88.0,88.0,88.0,403.8571428571429
>700,,,,,,,,100148.0,,,0.0,0.0,0.0,24.0,87,MFG_DEFECT_POOR_FINISH,,,3.48,87.0,87.0,87.0,87.0,400.2
,,0.0,,AndroidApp,,,,87068.0,,,0.0,0.0,0.0,32.0,85,MFG_DEFECT_POOR_FINISH,,,2.5757575757575757,85.0,85.0,85.0,85.0,388.93939393939394
,,,,,,,wait_refund,64433.0,,,0.0,0.0,0.0,22.0,84,MFG_DEFECT_POOR_FINISH,SELF_SERVE,,3.652173913043478,84.0,84.0,84.0,84.0,387.1304347826087
,,0.0,,,,,,74917.0,,,0.0,0.0,0.0,30.0,83,DAMAGED_BROKEN_PRODUCT,SELF_SERVE,,2.6774193548387095,83.0,83.0,83.0,83.0,380.19354838709677
,,,,AndroidApp,,,,75015.0,,,0.0,0.0,0.0,34.0,83,DAMAGED_BROKEN_PRODUCT,,,2.3714285714285714,83.0,83.0,83.0,83.0,379.42857142857144
>700,,,,,,,,78230.0,,,0.0,0.0,0.0,23.0,81,MFG_DEFECT_POOR_FINISH,SELF_SERVE,,3.375,81.0,81.0,81.0,81.0,372.9375
,,,COD,,,,,68074.0,,,0.0,0.0,0.0,28.0,79,MFG_DEFECT_POOR_FINISH,,,2.7241379310344827,79.0,79.0,79.0,79.0,362.3103448275862
,,0.0,,AndroidApp,,,,70679.0,,,0.0,0.0,0.0,30.0,79,DAMAGED_BROKEN_PRODUCT,,,2.5483870967741935,79.0,79.0,79.0,79.0,361.8709677419355
,,0.0,,AndroidApp,,,,65448.0,,,0.0,0.0,0.0,29.0,78,MFG_DEFECT_POOR_FINISH,SELF_SERVE,,2.6,78.0,78.0,78.0,78.0,357.5
,,0.0,,,,,wait_refund,51513.0,,,0.0,0.0,0.0,24.0,77,MFG_DEFECT_POOR_FINISH,,,3.08,77.0,77.0,77.0,77.0,354.2
>700,,0.0,,,,,,82832.0,,,0.0,0.0,0.0,19.0,76,MFG_DEFECT_POOR_FINISH,,,3.8,76.0,76.0,76.0,76.0,351.5
,,,COD,,,,,62179.0,,,0.0,0.0,0.0,23.0,75,MFG_DEFECT_POOR_FINISH,SELF_SERVE,,3.125,75.0,75.0,75.0,75.0,345.3125
,,0.0,,,,,wait_refund,47506.0,,,0.0,0.0,0.0,21.0,74,MFG_DEFECT_POOR_FINISH,SELF_SERVE,,3.3636363636363638,74.0,74.0,74.0,74.0,341.4090909090909
>700,,0.0,,,,,,62483.0,,,0.0,0.0,0.0,19.0,71,MFG_DEFECT_POOR_FINISH,SELF_SERVE,,3.55,71.0,71.0,71.0,71.0,328.375
,,0.0,COD,,,,,60171.0,,,0.0,0.0,0.0,24.0,71,MFG_DEFECT_POOR_FINISH,,,2.84,71.0,71.0,71.0,71.0,326.6
,,,,AndroidApp,,,,58166.0,,,0.0,0.0,0.0,28.0,71,DAMAGED_BROKEN_PRODUCT,SELF_SERVE,,2.4482758620689653,71.0,71.0,71.0,71.0,325.62068965517244
,,,,,,,,76023.0,,,0.0,0.0,15.2,88.14285714285714,118,,,4ab354c529074ce5,1.3237179487179487,7.283950617283951,118.0,118.0,118.0,312.87719610636276
,,0.0,,,,,,76023.0,,,0.0,0.0,15.2,88.14285714285714,118,,,4ab354c529074ce5,1.3237179487179487,7.283950617283951,118.0,118.0,118.0,312.87719610636276
,,,,,,,,54805.0,,,0.0,0.0,0.0,27.0,68,INSTALL_ASSEMBLY_ISSUE,,,2.4285714285714284,68.0,68.0,68.0,68.0,312.07142857142856
,,0.0,COD,,,,,54276.0,,,0.0,0.0,0.0,21.0,67,MFG_DEFECT_POOR_FINISH,SELF_SERVE,,3.0454545454545454,67.0,67.0,67.0,67.0,309.1136363636364
,,0.0,,AndroidApp,,,,53830.0,,,0.0,0.0,0.0,25.0,67,DAMAGED_BROKEN_PRODUCT,SELF_SERVE,,2.576923076923077,67.0,67.0,67.0,67.0,307.9423076923077
,,,,,,,,54041.0,,,0.0,0.0,0.0,27.0,67,INSTALL_ASSEMBLY_ISSUE,SELF_SERVE,,2.392857142857143,67.0,67.0,67.0,67.0,307.4821428571429
,,0.0,,,,,,51089.0,,,0.0,0.0,0.0,23.0,65,INSTALL_ASSEMBLY_ISSUE,,,2.7083333333333335,65.0,65.0,65.0,65.0,299.27083333333337
>700,,,,AndroidApp,,,,77674.0,,,0.0,0.0,0.0,18.0,64,MFG_DEFECT_POOR_FINISH,,,3.3684210526315788,64.0,64.0,64.0,64.0,296.42105263157896
,,0.0,,,,,,50325.0,,,0.0,0.0,0.0,23.0,64,INSTALL_ASSEMBLY_ISSUE,SELF_SERVE,,2.6666666666666665,64.0,64.0,64.0,64.0,294.66666666666663
,,,,,,,,68414.0,,,0.0,0.0,14.2,79.71428571428571,110,,SELF_SERVE,4ab354c529074ce5,1.3628318584070798,7.236842105263158,110.0,110.0,110.0,292.88076385654404
,,0.0,,,,,,68414.0,,,0.0,0.0,14.2,79.71428571428571,110,,SELF_SERVE,4ab354c529074ce5,1.3628318584070798,7.236842105263158,110.0,110.0,110.0,292.88076385654404
,,,,AndroidApp,,,wait_refund,48252.0,,,0.0,0.0,0.0,22.0,62,MFG_DEFECT_POOR_FINISH,,,2.6956521739130435,62.0,62.0,62.0,62.0,285.7391304347826
,,,,,,,wait_replace,67012.0,,,0.0,0.0,0.0,24.0,61,DAMAGED_BROKEN_PRODUCT,,,2.44,61.0,61.0,61.0,61.0,280.6
,,,COD,,,,,60673.0,,,0.0,0.0,0.0,25.0,60,DAMAGED_BROKEN_PRODUCT,,,2.3076923076923075,60.0,60.0,60.0,60.0,275.7692307692308
>700,,,,AndroidApp,,,,57325.0,,,0.0,0.0,0.0,17.0,59,MFG_DEFECT_POOR_FINISH,SELF_SERVE,,3.2777777777777777,59.0,59.0,59.0,59.0,273.69444444444446
